etablissement,commune,departement,adresse,type_structure,role_mis_en_cause,type_affaire,statut_judiciaire,statut_des_faits,enfants,url1,media1,date1,url2,media2,date2,resume_faits
Centre de loisirs du Chambon,Laguenne-sur-Avalouze,Corrèze,,centre de loisirs,animateur périscolaire,mixte,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/correze-un-animateur-dun-centre-de-loisirs-mis-en-examen-pour-viol-et-agressions-sexuelles-19-08-2025-NEELX7X2PRCN7APOYEM7AIOUBE.php,Le Parisien,2025-08-19,https://www.ladepeche.fr/2025/08/19/il-profitait-des-siestes-des-enfants-pour-les-filmer-un-animateur-dun-centre-de-loisirs-accuse-de-viols-et-dagressions-sexuelles-sur-mineurs-12883105.php,La Dépêche,2025-08-19,"Un animateur de centre de loisirs a été mis en examen pour viol, agressions sexuelles et captation d'images pornographiques sur mineur."
École élémentaire non nommée,Saché,Indre-et-Loire,,élémentaire,enseignant,atteinte sexuelle,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/indre-et-loire-un-enseignant-de-cm1-cm2-mis-en-examen-et-ecroue-pour-des-atteintes-sexuelles-27-06-2025-4VD453AL45H3PEYYCSHIK42NUI.php,Le Parisien,2025-06-27,https://www.rtl.fr/actu/justice-faits-divers/indre-et-loire-un-maitre-d-ecole-mis-en-examen-et-ecroue-pour-atteintes-sexuelles-sur-ses-eleves-7900519908,RTL,2025-06-27,Un enseignant intervenant dans cette école a été mis en examen pour des atteintes sexuelles rapportées sur plusieurs élèves.
École élémentaire non nommée,Montlouis-sur-Loire,Indre-et-Loire,,élémentaire,enseignant,atteinte sexuelle,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/indre-et-loire-un-enseignant-de-cm1-cm2-mis-en-examen-et-ecroue-pour-des-atteintes-sexuelles-27-06-2025-4VD453AL45H3PEYYCSHIK42NUI.php,Le Parisien,2025-06-27,https://www.rtl.fr/actu/justice-faits-divers/indre-et-loire-un-maitre-d-ecole-mis-en-examen-et-ecroue-pour-atteintes-sexuelles-sur-ses-eleves-7900519908,RTL,2025-06-27,Un enseignant intervenant dans cette école a été mis en examen pour des atteintes sexuelles rapportées sur plusieurs élèves.
École élémentaire non nommée,Ligré,Indre-et-Loire,,élémentaire,enseignant,atteinte sexuelle,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/indre-et-loire-un-enseignant-de-cm1-cm2-mis-en-examen-et-ecroue-pour-des-atteintes-sexuelles-27-06-2025-4VD453AL45H3PEYYCSHIK42NUI.php,Le Parisien,2025-06-27,https://www.rtl.fr/actu/justice-faits-divers/indre-et-loire-un-maitre-d-ecole-mis-en-examen-et-ecroue-pour-atteintes-sexuelles-sur-ses-eleves-7900519908,RTL,2025-06-27,Un enseignant intervenant dans cette école a été mis en examen pour des atteintes sexuelles rapportées sur plusieurs élèves.
Lycée non nommé,Rouen,Seine-Maritime,,lycée,enseignant,atteinte sexuelle,condamnation non définitive,retenu par jugement non définitif,plusieurs enfants,https://www.leparisien.fr/faits-divers/un-professeur-de-lycee-en-normandie-juge-pour-avoir-eu-des-relations-sexuelles-avec-trois-de-ses-eleves-mineures-04-12-2025-BTGX72H7AZDN3N7PVDGOR4LGUE.php,Le Parisien,2025-12-04,https://www.femmeactuelle.fr/actu/news-actu/un-professeur-de-lycee-condamne-a-de-la-prison-ferme-pour-avoir-eu-des-relations-intimes-avec-trois-de-ses-eleves-mineures-2201884,Femme Actuelle,2025-12,Un enseignant de lycée a été condamné en première instance pour des atteintes sexuelles sur plusieurs anciennes élèves mineures.
Collège Jules-Ferry,Delle,Territoire de Belfort,,collège,enseignant,mixte,condamnation non définitive,retenu par jugement non définitif,1 enfant,https://www.estrepublicain.fr/faits-divers-justice/2025/12/16/je-testais-les-limites-ce-professeur-envoyait-des-messages-sexuels-a-une-eleve-de-14-ans,L'Est Républicain,2025-12-16,,,,"Un enseignant a été condamné pour des messages sexuels adressés à une élève et pour détention d'images pédocriminelles."
Lycée Saint-Denis,Annonay,Ardèche,,lycée,enseignant,images pédocriminelles,condamnation non définitive,retenu par jugement non définitif,non précisé,https://www.ledauphine.com/faits-divers-justice/2025/07/01/debusque-par-les-americains-ce-professeur-avait-31-000-fichiers-pedopornographiques-sur-son-ordinateur-24-mois-de-prison-avec-sursis,Le Dauphiné Libéré,2025-07-01,,,,Un enseignant de lycée a été condamné en première instance pour détention d'images pédocriminelles.
Établissement professionnel non nommé,Charentay,Rhône,,autre,enseignant,agression sexuelle,condamnation non définitive,retenu par jugement non définitif,1 enfant,https://www.leprogres.fr/faits-divers-justice/2025/12/03/le-prof-de-math-avait-agresse-sexuellement-une-eleve-pendant-plusieurs-mois-cinq-ans-de-prison,Le Progrès,2025-12-03,https://www.lyonmag.com/article/148706/le-prof-imposait-des-relations-sexuelles-a-une-eleve-mineure-il-echappe-au-proces-pour-viols-pas-a-la-prison,LyonMag,2025-12-04,Un enseignant d'un établissement professionnel a été condamné en première instance pour agression sexuelle sur une élève mineure.
Collège Jehan le Povremoyne,Saint-Valéry-en-Caux,Seine-Maritime,,collège,autre,mixte,procès,allégué,plusieurs enfants,https://www.leparisien.fr/faits-divers/six-ans-de-prison-requis-contre-un-ex-surveillant-de-college-accuse-dagressions-sexuelles-et-de-corruption-de-mineurs-17-09-2025-HQMFWOWX6FFZXJ4ECB44XUT6ZE.php,Le Parisien,2025-09-17,https://www.ladepeche.fr/2025/09/17/on-repere-les-plus-fragiles-et-on-peut-passer-a-lacte-6-ans-de-prison-ferme-requis-contre-un-surveillant-de-college-accuse-dagressions-sexuelles-12935778.php,La Dépêche,2025-09-17,"Un ancien surveillant de collège a été jugé pour des agressions sexuelles, des faits assimilés et de la corruption de mineurs concernant plusieurs élèves."
Deux écoles maternelles non nommées,Rezé,Loire-Atlantique,,périscolaire,animateur périscolaire,agression sexuelle,condamnation non définitive,retenu par jugement non définitif,plusieurs enfants,https://www.alouette.fr/loire-atlantique-coupable-agressions-sexuelles-enfants-mineurs-animateur-periscolaire-condamne-prison,Alouette,2026-01-22,https://1001infos.net/france/agressions-sexuelles-en-maternelle-ex-animateur-de-loire-atlantique-condamne-a-six-ans/,1001infos,2026-01,Un ancien animateur périscolaire intervenant dans deux écoles maternelles de Rezé a été condamné en première instance pour agressions sexuelles sur plusieurs enfants.
École Alexandre-Copello,Marseille 5e,Bouches-du-Rhône,,autre,intervenant extérieur,agression sexuelle,procès,allégué,1 enfant,https://www.ladepeche.fr/2025/09/29/une-petite-fille-de-4-ans-victime-dune-agression-sexuelle-un-technicien-enedis-qui-intervenait-dans-lecole-soupconne-12960473.php,La Dépêche,2025-09-29,https://linfoauquotidien.com/faits-divers/marseille-une-petite-fille-de-4-ans-agressee-sexuellement-dans-son-ecole/,Linfo au Quotidien,2025-09,"Un technicien intervenant dans une école a été renvoyé devant le tribunal pour une agression sexuelle rapportée sur une enfant scolarisée dans l'établissement."
