etablissement,commune,departement,adresse,type_structure,role_mis_en_cause,type_affaire,statut_judiciaire,statut_des_faits,enfants,url1,media1,date1,url2,media2,date2,resume_faits
École maternelle Rochechouart,Paris 9e,Paris,,maternelle,animateur périscolaire,agression sexuelle,plainte,allégué,plusieurs enfants,https://www.elle.fr/Societe/News/Violences-sexuelles-dans-le-periscolaire-quelles-sont-les-ecoles-parisiennes-les-plus-touchees-4459600,ELLE,2026,https://article.wn.com/view/2026/02/03/Agressions_sexuelles_dans_le_periscolaire_a_Paris_une_deuxie/,WorldNews / Libération,2026-02-03,Des plaintes visant des faits sexuels présumés ont été rapportées dans une école maternelle parisienne.
École maternelle Reuilly II,Paris 12e,Paris,59 rue de Reuilly,maternelle,animateur périscolaire,agression sexuelle,enquête,allégué,1 enfant,https://www.linfo.re/france/faits-divers/soupcons-d-agression-sexuelle-un-animateur-d-ecole-maternelle-a-paris-ecarte-de-ses-fonctions,Linfo.re,2025-09-19,https://fr.wikipedia.org/wiki/Affaire_du_p%C3%A9riscolaire_%C3%A0_Paris,Wikipédia,2026,Un animateur périscolaire a été écarté après un soupçon d'agression sexuelle rapporté par la presse.
École Boulard,Paris 14e,Paris,,maternelle,animateur périscolaire,violences sexuelles,enquête,allégué,plusieurs enfants,https://fr.wikipedia.org/wiki/Affaire_du_p%C3%A9riscolaire_%C3%A0_Paris,Wikipédia,2026,https://www.leparisien.fr/paris-75/paris-trois-animateurs-ecartes-dune-maternelle-apres-des-soupcons-de-violences-sexuelles-les-parents-se-sentent-trahis-11-03-2026-LNLFZH5QCJGERBX7QFERMSZDAI.php,Le Parisien,2026-03-11,Des animateurs périscolaires ont été écartés après des soupçons de violences sexuelles rapportés par la presse.
École maternelle Parmentier,Paris 11e,Paris,Avenue Parmentier,maternelle,animateur périscolaire,mixte,plainte,allégué,1 enfant,https://www.linternaute.com/actualite/faits-divers/9228353-accusation-de-viol-dans-une-ecole-a-paris-une-plainte-deposee-et-plusieurs-animateurs-suspectes-d-infractions-sexuelles/,Linternaute,2025-11,https://www.ledauphine.com/faits-divers-justice/2025/11/13/un-animateur-d-ecole-maternelle-vise-par-une-plainte-pour-viol-aggrave,Le Dauphiné Libéré,2025-11-13,Une plainte vise un animateur périscolaire pour des faits sexuels présumés dans une école maternelle.
École maternelle Servan,Paris 11e,Paris,,maternelle,animateur périscolaire,agression sexuelle,mise en examen,allégué,plusieurs enfants,https://www.letribunaldunet.fr/faits-divers/animateur-maternelle-paris-mis-en-examen-agressions-enfants.html,Le Tribunal du Net,2026-05-13,https://www.linfo.re/france/faits-divers/agressions-sexuelles-a-paris-mise-en-examen-d-un-animateur-du-periscolaire-la-mairie-critiquee,Linfo.re,2026-05-19,Un animateur périscolaire a été mis en examen dans une affaire d'agressions sexuelles présumées rapportée par la presse.
École maternelle Paul-Dubois,Paris 3e,Paris,,maternelle,animateur périscolaire,mixte,plainte,allégué,plusieurs enfants,https://fr.wikipedia.org/wiki/Affaire_du_p%C3%A9riscolaire_%C3%A0_Paris,Wikipédia,2026,https://www.20minutes.fr/faits_divers/,20 Minutes,2026-02,Des familles ont déposé plainte dans une affaire de violences sexuelles présumées rapportée par la presse.
"École non nommée, XIIIe arrondissement",Paris 13e,Paris,,élémentaire,enseignant,mixte,enquête,allégué,1 enfant,https://www.leparisien.fr/yvelines-78/paris-un-instituteur-soupconne-de-tendances-pedophiles-place-en-garde-a-vue-12-02-2020-8258091.php,Le Parisien,2020-02-12,,,,Un professeur des écoles a été placé en garde à vue pour une agression sexuelle présumée et des images pédocriminelles selon la presse.
"École non nommée, Yvelines",commune non précisée,Yvelines,,élémentaire,enseignant,agression sexuelle,procès,allégué,plusieurs enfants,https://www.leparisien.fr/yvelines-78/yvelines-un-professeur-des-ecoles-soupconne-dagression-sexuelle-sur-deux-fillettes-21-06-2024-DHIFPCXNWRFI3E6BZ64W2VARM4.php,Le Parisien,2024-06-21,,,,Un professeur des écoles a été convoqué devant le tribunal dans une affaire d'agressions sexuelles présumées.
Structures périscolaires de Morigny-Champigny,Morigny-Champigny,Essonne,,périscolaire,animateur périscolaire,agression sexuelle,mise en examen,allégué,plusieurs enfants,https://www.leparisien.fr/essonne-91/essonne-lanimateur-periscolaire-mis-en-examen-pour-des-agressions-sexuelles-sur-dix-enfants-evoque-des-pulsions-28-11-2025-QVTUA2JZGRFODFD4DKMZYRJ3EY.php,Le Parisien,2025-11-28,https://www.rtl.fr/actu/justice-faits-divers/essonne-l-animateur-periscolaire-mis-en-examen-pour-agressions-sexuelles-sur-dix-enfants-evoque-des-pulsions-7900572122,RTL,2025-11-28,Un animateur périscolaire a été mis en examen et écroué pour agressions sexuelles présumées sur plusieurs enfants.
Collège-lycée Saint-Jean-de-Passy,Paris 16e,Paris,,collège,direction,agression sexuelle,condamnation non définitive,retenu par jugement non définitif,1 enfant,https://www.lemonde.fr/societe/article/2025/06/07/l-ex-directeur-de-saint-jean-de-passy-condamne-pour-des-attouchements-sur-un-collegien-vous-n-etes-pas-quelqu-un-d-anodin-ce-n-est-pas-une-agression-sexuelle-simple_6610997_3224.html,Le Monde,2025-06-07,https://www.ledauphine.com/faits-divers-justice/2025/06/06/agression-sexuelle-a-saint-jean-de-passy-trois-ans-de-sursis-requis-contre-l-ancien-directeur,Le Dauphiné Libéré,2025-06-06,Un ancien responsable d'établissement a été condamné en première instance pour agression sexuelle sur un élève selon la presse.
Lycée Clément-Ader,Athis-Mons,Essonne,,lycée,enseignant,agression sexuelle,plainte,allégué,1 enfant,https://www.leparisien.fr/essonne-91/essonne-une-professeure-accusee-dagression-sexuelle-par-un-lyceen-19-04-2023-NRT7AZHJIVHXNMXYS5EVMX4HZ4.php,Le Parisien,2023-04-19,,,,Une enseignante est visée par une plainte pour agression sexuelle présumée déposée après le signalement d'un lycéen selon la presse.
École Léon-Schwartzenberg,Paris 10e,Paris,,élémentaire,animateur périscolaire,violences sexuelles,enquête,allégué,non précisé,https://fr.wikipedia.org/wiki/Affaire_du_p%C3%A9riscolaire_%C3%A0_Paris,Wikipédia,2026,https://www.leparisien.fr/paris-75/paris-trois-hommes-dont-deux-animateurs-periscolaires-interpelles-pour-agressions-sexuelles-sur-douze-enfants-a-lecole-20-03-2026-JPKBOBEW5BBTZEMR6FDSHUOOVY.php,Le Parisien,2026-03-20,Un animateur périscolaire aurait été suspendu après un signalement pour violences sexuelles présumées selon des sources publiques.
École Reuilly B,Paris 12e,Paris,,élémentaire,animateur périscolaire,images pédocriminelles,enquête,allégué,non précisé,https://actu.orange.fr/france/paris-une-ecole-maternelle-suspend-un-animateur-suite-a-des-soupcons-d-agression-sexuelle-magic-CNT000002kLz9v.html,Orange Actu / 6Medias,2025-09-19,https://www.magicmaman.com/un-animateur-prenait-ma-fille-sur-ses-genoux-les-signalements-pour-agressions-sexuelles-dans-le-periscolaire-explosent%2C3776367.asp,Magicmaman,2025,Des images pédocriminelles présumées auraient été découvertes sur l'ordinateur d'un animateur ayant travaillé dans l'école selon la presse.
Crèche Le Lagon des Ours,Paris 11e,Paris,13 rue des Bluets,crèche,personnel de crèche,mixte,plainte,allégué,plusieurs enfants,https://www.fdesouche.com/2026/03/21/paris-xie-un-educateur-de-creche-soupconne-dun-viol-et-de-violences-sexuelles-sur-des-enfants-suspendu-en-2023-il-avait-ete-reintegre-apres-une-enquete-interne/,Fdesouche,2026-03-21,https://www.abcpuericulture.com/creches-collectives-paris/le-lagon-des-ours/,ABC Puériculture,,Un membre du personnel de crèche est visé par une plainte et des signalements pour faits sexuels présumés selon une source publique.
"École maternelle non nommée, Xe arrondissement",Paris 10e,Paris,,maternelle,enseignant,violences sexuelles,à qualifier,allégué,non précisé,https://www.linternaute.com/actualite/faits-divers/9252727-soupcons-d-agression-sexuelle-et-de-viol-en-periscolaire-a-paris-ce-que-l-on-sait-sur-les-accusations/,Linternaute,2025,,,,Un enseignant de maternelle aurait été suspendu à la suite d'une plainte pour faits sexuels présumés selon la presse.
"École maternelle non nommée, XIXe arrondissement",Paris 19e,Paris,,maternelle,enseignant,violences sexuelles,à qualifier,allégué,non précisé,https://www.linternaute.com/actualite/faits-divers/9252727-soupcons-d-agression-sexuelle-et-de-viol-en-periscolaire-a-paris-ce-que-l-on-sait-sur-les-accusations/,Linternaute,2025,,,,Un enseignant de maternelle aurait été suspendu à la suite d'une plainte pour faits sexuels présumés selon la presse.
"École maternelle non nommée, XXe arrondissement",Paris 20e,Paris,,maternelle,enseignant,violences sexuelles,à qualifier,allégué,non précisé,https://www.linternaute.com/actualite/faits-divers/9252727-soupcons-d-agression-sexuelle-et-de-viol-en-periscolaire-a-paris-ce-que-l-on-sait-sur-les-accusations/,Linternaute,2025,,,,Un enseignant de maternelle aurait été suspendu à la suite d'une plainte pour faits sexuels présumés selon la presse.
Lycée Notre-Dame,Mantes-la-Jolie,Yvelines,,lycée,enseignant,agression sexuelle,condamnation non définitive,retenu par jugement non définitif,1 enfant,https://lagazette-yvelines.fr/2025/07/09/un-enseignant-condamne-a-4-ans-de-prison-pour-agression-sexuelle-envers-une-de-ses-eleves/,La Gazette en Yvelines,2025-07-09,https://lagazette-sqy.fr/wp-content/uploads/ARCHIVES%20PDF/2025/GAZETTE-LGSQY-28-0807-N321.pdf,La Gazette de Saint-Quentin-en-Yvelines,2025-07,Un enseignant d'histoire-géographie est condamné en première instance pour l'agression sexuelle d'une lycéenne.
"Établissement non nommé, Les Mureaux",Les Mureaux,Yvelines,,autre,enseignant,atteinte sexuelle,mise en examen,allégué,1 enfant,https://lagazette-yvelines.fr/2025/02/19/un-professeur-de-maths-mis-en-examen-pour-viol-sur-mineur/,La Gazette en Yvelines,2025-02-19,,,,Un enseignant de mathématiques est mis en examen pour des faits présumés d'atteinte sexuelle sur une mineure.
Institution Saint-Dominique,Neuilly-sur-Seine,Hauts-de-Seine,,autre,enseignant,mixte,enquête,allégué,plusieurs enfants,https://fr.wikipedia.org/wiki/Abus_sexuels_dans_l%E2%80%99enseignement_catholique_en_France,Wikipédia,2026,https://lcp.fr/actualites/betharram-je-vous-en-supplie-ne-laissez-pas-le-sujet-s-eteindre-demandent-les-victimes,LCP,2025-07-01,Une enquête préliminaire a été ouverte suite à des dénonciations de violences physiques et sexuelles de la part d'anciens personnels.
École maternelle de la rue Faidherbe,Paris 11e,Paris,rue Faidherbe,maternelle,animateur périscolaire,agression sexuelle,enquête,allégué,plusieurs enfants,https://www.linfo.re/france/faits-divers/agression-sexuelle-nouvelle-plainte-visant-un-animateur-scolaire-dans-une-maternelle-a-paris,Linfo.re,2026,,,,Une enquête est menée par la brigade de protection des mineurs après des plaintes concernant des suspicions d'agressions sexuelles.
École Belzunce,Paris 10e,Paris,,élémentaire,animateur périscolaire,violences sexuelles,relaxe / non-lieu / classement,non établi,1 enfant,https://fr.wikipedia.org/wiki/Affaire_du_p%C3%A9riscolaire_%C3%A0_Paris,Wikipédia,2026,,,,Une plainte pour des faits présumés de violences sexuelles commis par un animateur sur une élève a fait l'objet d'un classement sans suite.
École Saint-Martin-de-France,Pontoise,Val-d'Oise,,internat,direction,viol,mise en examen,allégué,1 enfant,https://www.lagazettefrance.fr/article/stanislas-un-ancien-responsable-d-internat-juge-pour-violennes-contre-six-eleves,La Gazette France,2024,https://www.linfo.re/france/faits-divers/un-ancien-maitre-d-internat-de-l-ecole-stanislas-ecope-d-un-an-de-prison-avec-sursis,Linfo.re,2024-09-10,Un ancien responsable d'internat a été mis en examen pour viol et agression sexuelle sur un élève.
"Collège non nommé, Essonne",commune non précisée,Essonne,,collège,enseignant,agression sexuelle,procès,allégué,1 enfant,https://cabinetlombard.net/wp-content/uploads/2021/01/2021-01-06-Article-Le-Parisien-affaire-Ankri-1.pdf,Le Parisien,2021-01-06,,,,Un ancien enseignant de mathématiques a été jugé pour des agressions sexuelles commises sur un ex-élève.
